url,available language,word_count_to_translate,estimated_word_count_translated
https://en.wikipedia.org/wiki/Template:Brazil_men's_volleyball_squad_2000_Summer_Olympics,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_women's_volleyball_squad_2012_Summer_Olympics,en,0,0
https://en.wikipedia.org/wiki/Template:Brasil_squad_2022_FIVB_Women's_World_Championship,en,0,0
https://en.wikipedia.org/wiki/Template:Volleyball_at_the_2007_Pan_American_Games,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_men's_volleyball_squad_2016_Summer_Olympics,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_squad_2004_Volleyball_World_League,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_squad_2003_Volleyball_World_League,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_women_volleyball_team_2011_Pan_American_Games,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_men_volleyball_team_1967_Pan_American_Games,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_squad_2010_Volleyball_World_League,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_men's_volleyball_squad_1984_Summer_Olympics,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_squad_2005_Volleyball_World_League,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_squad_2009_Volleyball_World_League,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_women's_volleyball_squad_2016_Summer_Olympics,en,0,0
https://en.wikipedia.org/wiki/Template:Brasil_Squad_1994_FIVB_Women's_World_Championship,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_men_volleyball_team_2003_Pan_American_Games,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_men's_volleyball_squad_2008_Summer_Olympics,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_men's_volleyball_squad_2012_Summer_Olympics,en,0,0
https://en.wikipedia.org/wiki/Template:Brasil_Squad_2006_FIVB_Women's_World_Championship,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_men_volleyball_team_1963_Pan_American_Games,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_squad_2006_Volleyball_World_League,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_squad_2007_Volleyball_World_League,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_women_volleyball_team_2000_Olympics,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_men's_volleyball_squad_2004_Summer_Olympics,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_women's_volleyball_squad_2020_Summer_Olympics,en,0,0
https://en.wikipedia.org/wiki/Template:Brasil_squad_2014_FIVB_Women's_World_Championship,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_men's_volleyball_squad_2020_Summer_Olympics,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_men's_volleyball_squad_1992_Summer_Olympics,en,0,0
https://en.wikipedia.org/wiki/Template:Brasil_Squad_2010_FIVB_Women's_World_Championship,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_women's_volleyball_squad_2008_Summer_Olympics,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_men_volleyball_team_2007_Pan_American_Games,en,0,0
https://en.wikipedia.org/wiki/Template:Brazil_women_volleyball_team_1996_Olympics,en,0,0
https://en.wikipedia.org/wiki/Pedro_Iznaga,en,20,6
https://en.wikipedia.org/wiki/Michael_Munday_(volleyball),en,21,6
https://en.wikipedia.org/wiki/Leo_Carroll_(volleyball),en,21,6
https://en.wikipedia.org/wiki/Brett_Youngberg,en,21,6
https://en.wikipedia.org/wiki/Raydel_Corrales,en,20,6
https://en.wikipedia.org/wiki/Jorge_Sánchez_Salgado,en,20,6
https://en.wikipedia.org/wiki/Yoandri_Díaz,en,20,6
https://en.wikipedia.org/wiki/Christian_Bernier,en,21,6
https://en.wikipedia.org/wiki/Víctor_Bird,en,21,6
https://en.wikipedia.org/wiki/Luis_Rodríguez_(volleyball),en,21,6
https://en.wikipedia.org/wiki/Jeremy_Wilcox,en,21,6
https://en.wikipedia.org/wiki/Thomas_Ereu,en,22,7
https://en.wikipedia.org/wiki/Dževad_Hamzić,en,27,8
